Model,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,DeathCount
G0_W1_1766908223.pt,0.3193610198850453,0.5655913975005937,0.7047288337443253,0.4000189839214171,0.6100216772886548,0.0,0.2590112192136274,0.563605521448513,0.842756307570845,0.26013315226619316,0.007893465783936862,0.005604990217111469,0.857999079002877,1.0,1.0,5
G0_W1_1766906658.pt,0.3299263942090238,0.4980229866612337,0.5669361921706526,0.03887932850096693,0.1627863401004086,0.0,0.009910520363354876,0.7773724940580753,0.12594960447310077,0.5077022925553965,0.332517913976675,0.45314645773078777,0.7050703825603108,3.3248592809336494e-43,0.18450085295334162,7
G0_W1_443.pt,0.20351460366383978,0.15219193136081574,0.07582773646134795,0.31289339075141037,0.8192048515652647,5.812985890511927e-252,0.5409498194302288,0.5807342027571497,0.8438199107084915,0.8797354518781273,0.20331557165963052,0.2606523575775049,0.9323568610142182,1.6691283837312662e-15,0.08620408131690009,6
G0_W2_1766890808.pt,0.25639537280705493,0.07980335287864446,0.9147111468694612,0.03055470277612786,0.5880400388117702,0.0,0.023841720784169365,0.09347002175406328,0.6421972869105469,0.14006455964429748,0.27855984353873164,0.38105709805747146,0.9057790840575836,7.401922408425864e-51,0.2990670855197308,6
G0_W1_867.pt,0.07059425084972086,0.0003334880365739527,0.7466134188904396,0.3578955475647771,0.19117126721861474,1.2008336016103156e-252,0.8904715658480943,0.13519026899216635,0.670825351624625,0.4538524491658542,0.4467854847917862,0.6416535368559636,0.9925289751241358,1.0,1.0,6
G0_W2_1766893370.pt,0.09241063221751042,0.42222581016500715,0.9007324418053955,0.16888678380949493,0.7366577987035376,0.0,0.4093677636355467,0.6272968373270467,0.09531824040463835,0.13825258794945486,0.32518215661590255,0.3199461671253424,0.9756414553413021,1.0,1.0,5
G0_W2_1766898354.pt,0.07059425084972086,0.004308455181224898,0.33966777067776166,0.11060970523490421,0.357558764452502,3.97627147252002e-208,0.45117909227747954,0.6258860547749177,0.5508330907277337,0.7229607403672071,0.1550914659039812,0.003376236839211374,0.9849790176946827,1.0,1.0,10
G0_W2_1766895431.pt,0.5614012319289494,0.17856207183645806,0.8841423670423956,0.334111715430571,0.31377449166290977,0.0,0.675231359973824,0.929310367268105,0.5971099295074268,0.5235559555847276,0.22532244981598268,0.11324499810327586,0.6202591491741098,1.0,1.0,5
G0_W2_1766900556.pt,0.5057084153423661,0.6084369954636701,0.8004421420520581,0.020355267960828042,0.24267583323851963,0.0,0.23221552582788516,0.21268568010357025,0.46767653076213234,0.2501908443467524,0.8609265164025982,0.9298157922200226,0.4611831530953133,4.689765850474329e-19,0.15813506267280608,5
G0_W2_1766903480.pt,0.07000558436314362,0.39014272434306346,0.5992052822295978,0.40010234395137895,0.29194072656653264,0.0,0.4241575926963267,0.7529369999994026,0.059726115524993593,0.5383922490004374,0.17711795349172813,0.3951748277833546,0.9844086212089033,1.0,1.0,4
G0_W3_1766896718.pt,0.14286934695874193,0.005819699216314016,0.7671021038092214,0.2869143788671674,0.5440504370383906,0.0,0.02829710541600756,0.34255127033796545,0.8928346394223817,0.21905644505762983,0.534425060024534,0.7240514849779169,0.9704637875527939,1.0,1.0,5
